Date,Close,High,Low,Open,Volume
"Jan 02, 2018",106.68958282470703,107.07691400769994,106.19850261196528,106.8625052339415,"4,395,815"
"Jan 03, 2018",109.62225341796875,110.53525150099641,108.12824752253108,108.82683683237562,"9,875,914"
"Jan 04, 2018",111.84252166748047,112.27135032674309,110.23093399869954,110.42459962283249,"7,903,785"
"Jan 05, 2018",112.38890075683594,112.6724939189071,111.42748361753057,112.35432511030992,"5,434,807"
"Jan 08, 2018",113.06674194335938,113.37107830205744,111.84249683415524,112.506499420595,"5,478,425"
"Jan 09, 2018",113.3157730102539,113.79993154835368,112.78318426701826,113.36418113642686,"4,541,523"
"Jan 10, 2018",113.5578842163086,113.66163328714265,112.3958791676897,112.67946143323394,"4,366,109"
"Jan 11, 2018",113.57164001464844,114.08346326679211,112.94913497042934,113.98663601781011,"3,969,047"
"Jan 12, 2018",112.8385238647461,113.94519885729788,112.76245079150026,113.44719676657193,"5,263,367"
"Jan 16, 2018",113.32962799072266,114.32562124475591,112.98379408654182,114.19420723143294,"8,152,733"
"Jan 17, 2018",116.64962768554688,116.98161806705403,115.68821012377794,116.20695544439847,"12,248,660"
"Jan 18, 2018",116.97467041015625,118.36491626196931,116.30375706349778,117.58333213010252,"14,915,228"
"Jan 19, 2018",112.30592346191406,114.40166941823534,111.56583671083406,113.75151027267887,"22,146,435"
"Jan 22, 2018",112.46502685546875,113.41953363783156,111.4344469986433,111.71111851107725,"8,870,917"
"Jan 23, 2018",114.98958587646484,114.99650763040965,112.40275973113962,112.61716851122927,"7,809,645"
"Jan 24, 2018",114.38092803955078,116.69800457050101,114.00050754664238,115.33542358969142,"5,904,670"
"Jan 25, 2018",114.45008850097656,115.35617591486913,114.25642290035864,114.75442489029624,"3,454,415"
"Jan 26, 2018",115.7435073852539,115.79192654539102,114.67141930555577,114.8996715980763,"3,962,143"
"Jan 29, 2018",115.37002563476562,116.46977881372187,114.82360440309732,115.81960853190469,"3,678,782"
"Jan 30, 2018",113.17052459716797,115.34927683168434,112.85236671614464,114.96194555432194,"5,127,806"
"Jan 31, 2018",113.22586059570312,114.11810463800418,112.57569031160924,113.26043625288595,"4,260,149"
"Feb 01, 2018",112.32669830322266,113.52327881875348,111.98086444423036,112.87310851437223,"4,638,173"
"Feb 02, 2018",109.9957504272461,112.04999884209153,109.88507964576898,111.84250078636644,"5,493,487"
"Feb 05, 2018",105.49994659423828,109.62919902349036,103.75003396478702,109.20728101760446,"9,148,944"
"Feb 06, 2018",107.44352722167969,107.5472762757748,103.13444196086229,103.95061296185823,"10,321,614"
"Feb 07, 2018",106.4129409790039,107.44352074191983,106.01868797352995,106.63427154509321,"6,432,063"
"Feb 08, 2018",103.08818817138672,106.97870013822201,103.02532361968782,106.50374334436144,"7,090,939"
"Feb 09, 2018",104.42926025390625,105.14868529020936,100.8600389489479,103.7936360326573,"8,188,402"
